PV,CA,PV/CA,CA/PV,PV_percent,CA_percent,Diff,Diff_percent
0.593919735,0.446934692,1.328873649,0.752516991,0.570607877,0.429392123,-0.146985043,-0.141215754
0.459936171,0.303319747,1.516341008,0.659482263,0.602597582,0.397402418,-0.156616424,-0.205195165
0.684674459,0.574546981,1.191677063,0.839153518,0.5437284,0.4562716,-0.110127478,-0.0874568
0.614822351,0.590080446,1.041929715,0.959757636,0.510267179,0.489732821,-0.024741905,-0.020534358
0.638511217,0.657054387,0.971778333,1.02904126,0.492843601,0.507156399,0.01854317,0.014312799
0.640224901,0.656816576,0.974739257,1.025915385,0.493604031,0.506395969,0.016591675,0.012791939
0.676787035,0.630450206,1.073498,0.931534107,0.51772319,0.48227681,-0.046336829,-0.035446381
0.617735163,0.658098052,0.938667363,1.065340119,0.484181753,0.515818247,0.040362889,0.031636493
0.669884922,0.643549568,1.040922029,0.960686749,0.510025378,0.489974622,-0.026335354,-0.020050756
0.627702758,0.540483439,1.161372787,0.861049967,0.537331086,0.462668914,-0.087219319,-0.074662172
0.457437169,0.397948813,1.149487457,0.869952946,0.534772814,0.465227186,-0.059488356,-0.069545629
0.713531458,0.690220714,1.033772884,0.967330461,0.508303013,0.491696987,-0.023310744,-0.016606025
0.719394029,0.681873241,1.055026046,0.947843898,0.513388163,0.486611837,-0.037520788,-0.026776325
0.664866866,0.639262596,1.04005282,0.961489629,0.509816614,0.490183386,-0.02560427,-0.019633227
0.725543275,0.677162371,1.071446533,0.933317687,0.517245565,0.482754435,-0.048380904,-0.034491131
0.605511665,0.610252965,0.992230599,1.007830237,0.498050075,0.501949925,0.0047413,0.00389985
0.541468672,0.499220974,1.08462725,0.92197573,0.520297933,0.479702067,-0.042247698,-0.040595867
0.373543503,0.44081579,0.847391385,1.180092242,0.458696188,0.541303812,0.067272287,0.082607625
0.4716624,0.544106637,0.866856546,1.153593411,0.464340202,0.535659798,0.072444237,0.071319596
0.381005429,0.43197953,0.881998804,1.133788385,0.468650034,0.531349966,0.050974101,0.062699931
0.324784313,0.517275377,0.627875069,1.592673526,0.385702245,0.614297755,0.192491064,0.22859551
0.521099188,0.596144561,0.874115478,1.144013606,0.466414951,0.533585049,0.075045373,0.067170099
0.510863231,0.571423814,0.894018097,1.11854559,0.47202194,0.52797806,0.060560583,0.055956119
0.373342702,0.463758088,0.805037608,1.242177992,0.445994923,0.554005077,0.090415386,0.108010155
0.506913638,0.6696593,0.756972446,1.321052049,0.43083911,0.56916089,0.162745662,0.138321779
0.119469079,0.235156035,0.508041731,1.968342244,0.336888377,0.663111623,0.115686956,0.326223247
0.408070399,0.570370433,0.715448024,1.397725575,0.417061907,0.582938093,0.162300034,0.165876187
0.197278361,0.294845714,0.669090143,1.494566928,0.400871185,0.599128815,0.097567353,0.19825763
0.120297588,0.226961964,0.530034134,1.886670945,0.34641981,0.65358019,0.106664376,0.30716038
0.202772648,0.282621655,0.717470316,1.393785887,0.417748306,0.582251694,0.079849007,0.164503387
0.362725155,0.293450245,1.236070377,0.809015424,0.552786884,0.447213116,-0.06927491,-0.105573769
0.601525218,0.554598695,1.084613475,0.921987439,0.520294764,0.479705236,-0.046926523,-0.040589527
0.427914755,0.388619202,1.10111583,0.90816967,0.524062412,0.475937588,-0.039295553,-0.048124824
0.197874849,0.233583085,0.847128331,1.18045869,0.458619099,0.541380901,0.035708236,0.082761802
0.184216954,0.22275135,0.827007127,1.209179422,0.45265676,0.54734324,0.038534396,0.09468648
0.339630882,0.401966301,0.844923769,1.183538725,0.457972185,0.542027815,0.062335419,0.084055631
0.312895965,0.307228993,1.018445434,0.981888638,0.504569218,0.495430782,-0.005666972,-0.009138436
0.665416882,0.610397886,1.090136282,0.917316501,0.521562298,0.478437702,-0.055018996,-0.043124596
0.485421855,0.461385625,1.05209575,0.950483832,0.512693304,0.487306696,-0.02403623,-0.025386608
0.450854947,0.525008804,0.858756927,1.164473868,0.46200604,0.53799396,0.074153857,0.07598792
0.37606292,0.426583672,0.88156895,1.134341221,0.468528645,0.531471355,0.050520752,0.06294271
0.548693694,0.453079116,1.211032852,0.825741431,0.547722686,0.452277314,-0.095614578,-0.095445371
0.614586871,0.542778293,1.132298176,0.883159596,0.531022438,0.468977562,-0.071808578,-0.062044876
0.464544566,0.438827708,1.058603542,0.944640709,0.51423381,0.48576619,-0.025716858,-0.028467619
0.3681936,0.433178193,0.849981846,1.176495716,0.459454155,0.540545845,0.064984593,0.08109169
0.504264277,0.520973068,0.967927726,1.033134988,0.491851257,0.508148743,0.016708791,0.016297486
0.420148593,0.30463093,1.379205299,0.725055219,0.579691588,0.420308412,-0.115517663,-0.159383177
0.331461165,0.344054422,0.963397485,1.03799316,0.490678781,0.509321219,0.012593257,0.018642437
0.362886654,0.362819694,1.000184554,0.99981548,0.500046134,0.499953866,-6.696E-05,-9.22687E-05
0.641798713,0.722632589,0.888139731,1.125948953,0.47037818,0.52962182,0.080833876,0.059243639
0.217927577,0.251135762,0.867767996,1.152381747,0.464601598,0.535398402,0.033208185,0.070796803
0.4129722,0.433535891,0.9525675,1.049794371,0.487853813,0.512146187,0.020563691,0.024292374
0.194783893,0.280006216,0.695641317,1.437522434,0.410252634,0.589747366,0.085222323,0.179494731
0.352762349,0.432636634,0.815377897,1.226425199,0.449150504,0.550849496,0.079874285,0.101698992
